Match ID,Competition Name,Match Date,Home Team,Score Home,Score Away,Away Team
300389356,Friendlies,2017-06-09T09:00:00Z,Brazil,0,1,Argentina
300397351,Friendlies,2017-06-13T12:00:00Z,Singapore,0,6,Argentina
300418912,Friendlies,2017-11-11T13:00:00Z,Russia,0,1,Argentina
300418929,Friendlies,2017-11-14T19:30:00Z,Argentina,2,4,Nigeria
300362076,FIFA World Cup 2018 Qualifiers - South America,2017-03-23T23:30:00Z,Argentina,1,0,Chile
300362077,FIFA World Cup 2018 Qualifiers - South America,2017-03-28T20:00:00Z,Bolivia,2,0,Argentina
300362096,FIFA World Cup 2018 Qualifiers - South America,2017-08-31T23:00:00Z,Uruguay,0,0,Argentina
300362086,FIFA World Cup 2018 Qualifiers - South America,2017-09-05T23:30:00Z,Argentina,1,1,Venezuela
300362079,FIFA World Cup 2018 Qualifiers - South America,2017-10-05T23:30:00Z,Argentina,0,0,Peru
300362091,FIFA World Cup 2018 Qualifiers - South America,2017-10-10T23:30:00Z,Ecuador,1,3,Argentina
300428119,Friendlies,2018-03-23T19:45:00Z,Italy,0,2,Argentina
300433386,Friendlies,2018-03-27T19:30:00Z,Spain,6,1,Argentina
300439799,Friendlies,2018-05-29T23:00:00Z,Argentina,4,0,Haiti
300334890,FIFA Confederations Cup Russia 2017,2017-06-19T15:00:00Z,Australia,2,3,Germany
300334880,FIFA Confederations Cup Russia 2017,2017-06-22T15:00:00Z,Cameroon,1,1,Australia
300334879,FIFA Confederations Cup Russia 2017,2017-06-25T18:00:00Z,Chile,1,1,Australia
300356039,FIFA World Cup 2018 Qualifiers - Asia,2017-03-23T12:00:00Z,Iraq,1,1,Australia
300356051,FIFA World Cup 2018 Qualifiers - Asia,2017-03-28T09:00:00Z,Australia,2,0,United Arab Emirates
300356045,FIFA World Cup 2018 Qualifiers - Asia,2017-06-08T10:00:00Z,Australia,3,2,Saudi Arabia
300356032,FIFA World Cup 2018 Qualifiers - Asia,2017-08-31T10:35:00Z,Japan,2,0,Australia
300356048,FIFA World Cup 2018 Qualifiers - Asia,2017-09-05T10:00:00Z,Australia,2,1,Thailand
300414772,FIFA World Cup 2018 Qualifiers - Asia,2017-10-05T12:30:00Z,Syria,1,1,Australia
300414771,FIFA World Cup 2018 Qualifiers - Asia,2017-10-10T09:00:00Z,Australia,2,1,Syria
300417807,FIFA World Cup 2018 Qualifiers - Play-off CONCACAF/AFC,2017-11-10T22:00:00Z,Honduras,0,0,Australia
